cip2020_code,cip2020_title,score,completions_latest_year,employment_weighted_openings,n_socs_used,no_labor_data,has_soc_11_1021,matched_soc_codes
43.0302,Crisis/Emergency/Disaster Management,83.1,825.0,95.56,3,f,f,"11-9199, 33-1012, 11-9161"
51.3809,Pediatric Nurse/Nursing,82.8,353.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
52.0210,Research and Development Management,82.8,210.0,88.34,3,f,f,"11-9199, 11-9111, 11-9121"
27.0601,"Applied Statistics, General",82.8,369.0,78.66,3,f,f,"13-1111, 15-2051, 11-9121"
52.0801,"Finance, General",82.7,3153.0,246.51,3,f,t,"11-1021, 11-3031, 13-2051"
43.0301,Homeland Security,82.4,855.0,95.56,3,f,f,"11-9199, 33-1012, 11-9161"
51.0203,Speech-Language Pathology/Pathologist,82.2,5463.0,21.86,2,f,f,"25-1071, 29-1127"
52.1206,Information Resources Management,82.1,916.0,52.32,2,f,f,"11-3021, 25-1021"
51.0706,Health Information/Medical Records Administration/Administrator,81.8,523.0,48.27,3,f,f,"11-9111, 29-2072, 29-9021"
45.0901,International Relations and Affairs,81.5,3988.0,104.51,3,f,f,"11-9199, 25-1065, 19-3094"
52.1399,"Management Sciences and Quantitative Methods, Other",81.4,16905.0,,0,t,,
42.2805,School Psychology,81.0,2408.0,86.78,3,f,f,"11-9199, 21-1012, 19-3034"
43.0103,Criminal Justice/Law Enforcement Administration,80.9,2605.0,95.37,3,f,f,"11-9199, 33-1012, 25-1111"
51.3812,Perioperative/Operating Room and Surgical Nurse/Nursing,80.7,109.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
43.0404,Cybersecurity Defense Strategy/Policy,80.5,300.0,95.06,3,f,f,"11-9199, 33-1012, 33-1099"
51.0702,Hospital and Health Care Facilities Administration/Management,80.3,1042.0,47.20,3,f,f,"11-9111, 11-3013, 25-1011"
42.2704,Experimental Psychology,80.2,334.0,99.02,3,f,f,"11-9199, 19-3039, 25-1066"
45.0902,National Security Policy Studies,80.0,466.0,104.51,3,f,f,"11-9199, 25-1065, 19-3094"
52.0304,Accounting and Finance,79.9,541.0,95.94,3,f,f,"13-2011, 11-3031, 13-2051"
52.1404,Digital Marketing,79.9,357.0,65.82,3,f,f,"13-1161, 11-2021, 15-1255"
51.2208,Community Health and Preventive Medicine,79.9,320.0,48.11,3,f,f,"11-9111, 25-1071, 21-1094"
26.1103,Bioinformatics,79.7,749.0,26.58,3,f,f,"15-1299, 15-2051, 19-4021"
13.0603,Educational Statistics and Research Methods,79.6,169.0,89.03,3,f,f,"13-1111, 25-1081, 19-3099"
26.1309,Epidemiology,79.5,2195.0,20.40,3,f,f,"25-1071, 19-1042, 19-1041"
42.2806,Educational Psychology,79.4,1372.0,98.05,3,f,f,"11-9199, 19-3034, 19-3039"
25.0101,Library and Information Science,79.4,5606.0,97.39,3,f,f,"11-9199, 25-4022, 25-1082"
51.2299,"Public Health, Other",79.3,911.0,51.01,2,f,f,"11-9111, 25-1071"
30.0601,Systems Science and Theory,79.2,423.0,95.43,2,f,f,"11-9199, 25-1199"
50.1099,"Arts, Entertainment, and Media Management, Other",79.2,146.0,97.07,3,f,f,"11-9199, 25-1121, 13-1011"
26.0509,Infectious Disease and Global Health,79.1,146.0,47.51,3,f,f,"11-9111, 19-1042, 19-1029"
51.3813,Clinical Nurse Specialist,79.0,252.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
52.1401,"Marketing/Marketing Management, General",78.8,1929.0,64.24,3,f,f,"13-1161, 11-2022, 11-2021"
52.1403,International Marketing,78.8,288.0,66.75,3,f,f,"13-1161, 11-2021, 25-1011"
45.0201,"Anthropology, General",78.8,912.0,105.50,3,f,f,"11-9199, 19-3091, 25-1061"
45.1101,"Sociology, General",78.7,1199.0,102.56,3,f,f,"11-9199, 19-4061, 25-1067"
27.0503,Mathematics and Statistics,78.5,549.0,16.87,3,f,f,"15-2051, 11-9121, 25-1022"
45.0401,Criminology,78.5,792.0,97.41,3,f,f,"11-9199, 19-4099, 19-3039"
51.2306,Occupational Therapy/Therapist,78.4,5737.0,21.28,2,f,f,"25-1071, 29-1122"
51.3811,Public Health/Community Nurse/Nursing,78.4,204.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
30.1901,Nutrition Sciences,78.3,1727.0,19.36,3,f,f,"25-1071, 11-9121, 29-1031"
51.1005,Clinical Laboratory Science/Medical Technology/Technologist,78.3,377.0,27.40,1,f,f,25-1071
11.1099,"Computer/Information Technology Services Administration and Management, Other",78.2,3329.0,,0,t,,
51.2007,Pharmacoeconomics/Pharmaceutical Economics,78.2,105.0,50.05,3,f,f,"11-9111, 25-1071, 19-3011"
52.1101,International Business/Trade/Commerce,78.0,1249.0,245.50,3,f,t,"11-1021, 13-1199, 11-1011"
52.1601,Taxation,77.7,850.0,113.81,3,f,f,"13-2011, 13-2082, 13-2061"
13.0604,"Educational Assessment, Testing, and Measurement",77.6,139.0,89.03,3,f,f,"13-1111, 25-1081, 19-3099"
51.2210,International Public Health/International Health,77.6,419.0,56.44,2,f,f,"11-9111, 21-1091"
11.0202,"Computer Programming, Specific Applications",77.6,54.0,98.49,3,f,f,"15-1252, 15-1253, 15-1251"
51.2010,Pharmaceutical Sciences,77.4,487.0,20.93,2,f,f,"25-1071, 19-1042"
27.0501,"Statistics, General",77.3,2725.0,16.87,3,f,f,"15-2051, 11-9121, 25-1022"
51.2307,Orthotist/Prosthetist,77.2,233.0,25.54,3,f,f,"25-1071, 51-9082, 29-2091"
52.1499,"Marketing, Other",77.1,299.0,66.75,3,f,f,"13-1161, 11-2021, 25-1011"
51.0204,Audiology/Audiologist and Speech-Language Pathology/Pathologist,77.1,2893.0,21.18,3,f,f,"25-1071, 29-1127, 29-1181"
26.1102,Biostatistics,77.1,1091.0,18.61,3,f,f,"25-1071, 19-1042, 11-9121"
27.0304,Computational and Applied Mathematics,76.9,377.0,16.87,3,f,f,"15-2051, 11-9121, 25-1022"
50.1001,"Arts, Entertainment, and Media Management, General",76.8,268.0,97.07,3,f,f,"11-9199, 25-1121, 13-1011"
51.0719,Clinical Research Coordinator,76.8,132.0,84.54,3,f,f,"11-9199, 11-9111, 11-9033"
43.0202,Fire Services Administration,76.7,154.0,92.73,3,f,f,"11-9199, 25-1194, 33-1021"
52.0203,"Logistics, Materials, and Supply Chain Management",76.7,1223.0,20.74,3,f,f,"11-3051, 13-1081, 11-3071"
51.0201,"Communication Sciences and Disorders, General",76.5,2034.0,21.18,3,f,f,"25-1071, 29-1127, 29-1181"
51.0722,Healthcare Innovation,76.4,93.0,62.10,1,f,f,11-9111
52.0305,Accounting and Business/Management,76.3,289.0,95.94,3,f,f,"13-2011, 11-3031, 13-2051"
