cip2020_title,score,band,employment_weighted_openings,employment_weighted_growth_pct,completions_latest_year,pct_completions_latest_year,pct_employment_weighted_openings,pct_completions_trend_pct,pct_employment_weighted_growth_pct,pct_bls_top30_flag,in_bls_top30_flag,is_finalist,proposed_name
"Clinical, Counseling and Applied Psychology, Other",72.6,Test,99.02,4.46,347.0,76.0,89.6,23.6,62.2,100.0,t,f,
Organizational Behavior Studies,72.6,Test,64.64,5.95,914.0,86.9,78.2,14.2,73.0,100.0,t,f,
Operations Management and Supervision,72.6,Test,58.87,6.50,608.0,82.8,74.5,27.5,75.5,100.0,t,f,
Pharmaceutics and Drug Design,72.6,Test,19.62,13.57,239.0,71.1,53.7,79.1,88.7,100.0,t,f,
Computational Biology,72.5,Test,26.05,15.20,82.0,53.4,61.9,94.0,92.3,100.0,t,f,
Public Health Education and Promotion,72.4,Test,21.13,14.23,747.0,84.8,57.0,42.2,90.4,100.0,t,f,
"Public Administration, Other",72.4,Test,106.70,4.50,25.0,36.0,94.0,91.4,64.8,100.0,t,f,
Geography,72.3,Test,102.18,4.50,349.0,76.1,91.5,15.5,64.8,100.0,t,f,
Respiratory Care Therapy/Therapist,72.1,Test,19.07,12.55,151.0,64.2,52.9,92.8,87.3,100.0,t,f,
Music Therapy/Therapist,72.1,Test,23.62,16.36,154.0,64.6,60.2,70.4,94.2,100.0,t,f,
Regulatory Science/Affairs,72.1,Test,50.46,15.04,47.0,44.6,70.5,91.8,92.2,100.0,t,f,
"Political Science and Government, General",72.0,Test,87.08,1.79,1659.0,91.6,84.0,32.6,29.2,100.0,t,f,
Pharmacology and Toxicology,72.0,Test,20.93,14.17,160.0,65.5,55.8,81.2,89.7,100.0,t,f,
Economics and Computer Science,72.0,Test,101.37,11.61,42.0,42.9,91.1,60.3,85.2,100.0,t,f,
"History, Other",71.9,Test,104.54,4.41,138.0,62.9,92.8,40.8,60.4,100.0,t,f,
Science/Technology Management,71.9,Test,87.58,8.73,97.0,56.7,84.7,47.1,82.5,100.0,t,f,
Psychopharmacology,71.9,Test,84.89,6.96,67.0,50.4,83.2,67.8,77.6,100.0,t,f,
Cytotechnology/Cytotechnologist,71.7,Test,27.40,17.30,54.0,47.5,63.2,93.8,96.4,100.0,t,f,
"Social Sciences, Other",71.6,Test,102.11,4.28,280.0,72.8,91.3,24.5,58.2,100.0,t,f,
"Human Resources Management and Services, Other",71.5,Test,75.13,4.98,570.0,82.1,80.3,15.2,69.9,100.0,t,f,
"Dental Clinical Sciences, General",71.5,Test,26.79,16.92,278.0,72.7,62.3,44.4,95.6,100.0,t,f,
"Educational Assessment, Evaluation, and Research, Other",71.4,Test,89.03,8.02,125.0,61.5,85.0,37.6,79.0,100.0,t,f,
Applied/Public Sociology,71.4,Test,102.56,4.47,24.0,35.7,91.9,90.7,63.6,100.0,t,f,
Computer Systems Analysis/Analyst,71.2,Test,25.11,9.63,1206.0,89.8,61.3,89.0,83.5,0.0,f,f,
Audiology/Audiologist,71.2,Test,26.02,16.90,151.0,64.2,61.8,60.2,95.5,100.0,t,f,
Psychometrics and Quantitative Psychology,71.1,Test,99.02,4.46,42.0,42.9,89.6,80.0,62.2,100.0,t,f,
Nursing Education,71.1,Test,13.23,6.05,3449.0,95.3,45.5,52.0,73.8,100.0,t,f,
"Clinical/Medical Laboratory Science and Allied Professions, Other",70.9,Test,27.40,17.30,75.0,52.2,63.2,78.8,96.4,100.0,t,f,
