cip2020_code,cip2020_title,already_offered_by_vanderbilt,pct_completions_latest_year,pct_completions_trend_pct,pct_employment_weighted_openings,pct_employment_weighted_growth_pct,pct_bls_top30_flag,n_metrics_used,score,band
45.0799,"Geography, Other",f,49.6,83.1,93.9,64.3,100.0,5,75.2,Test
31.0301,"Parks, Recreation, and Leisure Facilities Management, General",f,72.8,28.2,99.9,60.4,100.0,5,75.1,Test
43.0403,Cyber/Computer Forensics and Counterterrorism,f,84.8,56.3,60.8,85.3,100.0,5,74.9,Test
43.0405,Financial Forensics and Fraud Investigation,f,63.9,47.9,94.7,67.6,100.0,5,74.9,Test
11.0902,Cloud Computing,f,43.4,76.1,88.9,91.3,100.0,5,74.8,Test
42.2701,Cognitive Psychology and Psycholinguistics,f,48.9,91.2,89.6,62.2,100.0,5,74.6,Test
51.2301,Art Therapy/Therapist,f,81.1,53.8,60.2,94.2,100.0,5,74.6,Test
51.2099,"Pharmacy, Pharmaceutical Sciences, and Administration, Other",f,77.0,53.5,63.2,96.4,100.0,5,74.5,Test
51.2205,Health/Medical  Physics,f,68.6,77.1,60.9,93.4,100.0,5,74.4,Test
52.0212,Retail Management,f,53.2,93.5,99.7,30.1,100.0,5,74.4,Test
11.1002,"System, Networking, and LAN/WAN Management/Manager",f,51.9,93.6,68.2,93.4,100.0,5,74.1,Test
27.0301,"Applied Mathematics, General",f,87.5,54.3,49.6,98.7,100.0,5,74.1,Test
51.2005,Natural Products Chemistry and Pharmacognosy,f,62.7,98.5,55.8,89.7,100.0,5,73.8,Test
52.1201,"Management Information Systems, General",f,89.4,22.9,69.2,85.4,100.0,5,73.8,Test
54.0102,American  History (United States),f,70.1,87.6,84.5,28.2,100.0,5,73.8,Test
26.0503,Medical Microbiology and Bacteriology,f,77.3,79.7,51.6,86.6,100.0,5,73.6,Test
43.0303,Critical Infrastructure Protection,f,66.4,59.2,86.6,59.0,100.0,5,73.6,Test
51.2212,Behavioral Aspects of Health,f,60.5,98.1,57.0,90.4,100.0,5,73.5,Test
54.0101,"History, General",f,94.6,37.0,84.5,28.2,100.0,5,73.5,Test
50.1002,Fine and Studio Arts Management,f,77.1,34.2,87.5,59.5,100.0,5,73.4,Test
51.0906,Perfusion Technology/Perfusionist,f,64.2,82.6,59.8,91.8,100.0,5,73.4,Test
52.0303,Auditing,f,47.5,67.4,94.9,70.5,100.0,5,73.4,Test
30.7199,"Data Analytics, Other",f,51.1,,80.3,86.0,100.0,4,73.3,Test
51.3806,Maternal/Child Health and Neonatal Nurse/Nursing,f,61.5,24.8,97.3,79.4,100.0,5,73.3,Test
25.0103,Archives/Archival Administration,f,60.9,46.6,93.9,64.8,100.0,5,73.2,Test
42.2706,Behavioral Neuroscience,f,47.8,87.3,89.1,60.0,100.0,5,73.2,Test
51.3824,Forensic Nursing,f,32.3,82.9,97.3,79.4,100.0,5,73.2,Test
31.0504,Sport and Fitness Administration/Management,f,96.6,63.4,73.9,83.1,0.0,5,73.1,Test
45.1201,Urban Studies/Affairs,f,74.6,28.0,91.3,60.9,100.0,5,73.1,Test
51.2202,Environmental Health,f,84.1,56.8,53.4,89.0,100.0,5,73.1,Test
42.2802,Community Psychology,f,70.1,38.2,89.6,62.2,100.0,5,73.0,Test
42.2899,"Clinical, Counseling and Applied Psychology, Other",f,76.0,23.6,89.6,62.2,100.0,5,72.6,Test
51.2003,Pharmaceutics and Drug Design,f,71.1,79.1,53.7,88.7,100.0,5,72.6,Test
52.0205,Operations Management and Supervision,f,82.8,27.5,74.5,75.5,100.0,5,72.6,Test
52.1003,Organizational Behavior Studies,f,86.9,14.2,78.2,73.0,100.0,5,72.6,Test
26.1104,Computational Biology,f,53.4,94.0,61.9,92.3,100.0,5,72.5,Test
44.0499,"Public Administration, Other",f,36.0,91.4,94.0,64.8,100.0,5,72.4,Test
51.2207,Public Health Education and Promotion,f,84.8,42.2,57.0,90.4,100.0,5,72.4,Test
45.0701,Geography,f,76.1,15.5,91.5,64.8,100.0,5,72.3,Test
51.0720,Regulatory Science/Affairs,f,44.6,91.8,70.5,92.2,100.0,5,72.1,Test
51.0908,Respiratory Care Therapy/Therapist,f,64.2,92.8,52.9,87.3,100.0,5,72.1,Test
51.2305,Music Therapy/Therapist,f,64.6,70.4,60.2,94.2,100.0,5,72.1,Test
26.1007,Pharmacology and Toxicology,f,65.5,81.2,55.8,89.7,100.0,5,72.0,Test
30.3901,Economics and Computer Science,f,42.9,60.3,91.1,85.2,100.0,5,72.0,Test
45.1001,"Political Science and Government, General",f,91.6,32.6,84.0,29.2,100.0,5,72.0,Test
42.2709,Psychopharmacology,f,50.4,67.8,83.2,77.6,100.0,5,71.9,Test
52.0216,Science/Technology Management,f,56.7,47.1,84.7,82.5,100.0,5,71.9,Test
54.0199,"History, Other",f,62.9,40.8,92.8,60.4,100.0,5,71.9,Test
51.1002,Cytotechnology/Cytotechnologist,f,47.5,93.8,63.2,96.4,100.0,5,71.7,Test
45.9999,"Social Sciences, Other",f,72.8,24.5,91.3,58.2,100.0,5,71.6,Test
51.0501,"Dental Clinical Sciences, General",f,72.7,44.4,62.3,95.6,100.0,5,71.5,Test
52.1099,"Human Resources Management and Services, Other",f,82.1,15.2,80.3,69.9,100.0,5,71.5,Test
13.0699,"Educational Assessment, Evaluation, and Research, Other",f,61.5,37.6,85.0,79.0,100.0,5,71.4,Test
45.1102,Applied/Public Sociology,f,35.7,90.7,91.9,63.6,100.0,5,71.4,Test
11.0501,Computer Systems Analysis/Analyst,f,89.8,89.0,61.3,83.5,0.0,5,71.2,Test
51.0202,Audiology/Audiologist,f,64.2,60.2,61.8,95.5,100.0,5,71.2,Test
42.2708,Psychometrics and Quantitative Psychology,f,42.9,80.0,89.6,62.2,100.0,5,71.1,Test
51.3203,Nursing Education,f,95.3,52.0,45.5,73.8,100.0,5,71.1,Test
51.1099,"Clinical/Medical Laboratory Science and Allied Professions, Other",f,52.2,78.8,63.2,96.4,100.0,5,70.9,Test
30.1202,Cultural Resource Management and Policy Analysis,f,44.6,65.2,93.3,63.6,100.0,5,70.7,Test
51.0508,Orthodontics/Orthodontology,f,60.5,61.7,62.9,96.2,100.0,5,70.7,Test
51.2310,Vocational Rehabilitation Counseling/Counselor,f,84.1,27.7,60.1,88.6,100.0,5,70.7,Test
13.0501,Educational/Instructional Technology,t,97.8,65.6,66.7,75.5,0.0,5,70.5,
