cip2020_code,cip2020_title,latest_year,completions_latest_year,trend_earliest_year,completions_trend_pct,matched_soc_codes,n_socs_used,employment_weighted_openings,employment_weighted_growth_pct,in_bls_top30_flag,already_offered_by_vanderbilt
14.0299,"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other",2024,0.0,2024,,"11-9041, 17-2011, 25-1032",3,10.79,4.94,f,f
14.0301,Agricultural Engineering,2024,202.0,2012,-25.7,"11-9041, 25-1032, 17-2021",3,12.43,4.63,f,f
14.0401,Architectural Engineering,2024,197.0,2012,38.7,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.0501,Bioengineering and Biomedical Engineering,2024,3716.0,2012,102.5,"11-9041, 25-1032, 17-2031",3,11.64,4.67,f,f
14.0601,Ceramic Sciences and Engineering,2024,19.0,2012,171.4,"11-9041, 25-1032, 17-2131",3,11.62,4.71,f,f
14.0701,Chemical Engineering,2024,1567.0,2012,14.5,"11-9041, 25-1032, 17-2041",3,11.64,4.47,f,f
14.0702,Chemical and Biomolecular Engineering,2024,80.0,2012,566.7,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.0799,"Chemical Engineering, Other",2024,8.0,2012,,"11-9041, 25-1032, 17-2041",3,11.64,4.47,f,f
14.0801,"Civil Engineering, General",2024,4565.0,2012,-8.6,"17-2051, 11-9041, 25-1032",3,18.99,4.84,f,f
14.0802,Geotechnical and Geoenvironmental Engineering,2024,14.0,2012,,"17-2051, 11-9041, 17-2199",3,17.92,4.03,f,f
14.0803,Structural Engineering,2024,147.0,2012,-26.5,"17-2051, 11-9041, 25-1032",3,18.99,4.84,f,f
14.0804,Transportation and Highway Engineering,2024,82.0,2012,20.6,"17-2051, 11-9041, 25-1032",3,18.99,4.84,f,f
14.0805,Water Resources Engineering,2024,29.0,2012,-54.0,"17-2051, 11-9041, 17-2199",3,17.92,4.03,f,f
14.0899,"Civil Engineering, Other",2024,103.0,2012,312.0,"17-2051, 11-9041, 25-1032",3,18.99,4.84,f,f
14.0901,"Computer Engineering, General",2024,3575.0,2012,97.4,"15-1252, 11-9041, 15-1253",3,95.37,14.04,t,f
14.0902,Computer Hardware Engineering,2024,57.0,2012,-59.9,"11-9041, 17-2061, 25-1032",3,10.74,5.23,f,f
14.0903,Computer Software Engineering,2024,2852.0,2012,142.1,"15-1252, 11-9041, 15-1253",3,95.37,14.04,t,f
14.0999,"Computer Engineering, Other",2024,243.0,2012,1250.0,"11-9041, 15-1241, 25-1032",3,11.98,7.57,f,f
14.1001,Electrical and Electronics Engineering,2024,8356.0,2012,-11.5,"11-9041, 17-2071, 17-2072",3,11.74,5.56,f,f
14.1003,Laser and Optical Engineering,2024,42.0,2012,23.5,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.1004,Telecommunications Engineering,2024,111.0,2012,-35.8,"11-9041, 17-2199, 17-2072",3,10.93,3.71,f,f
14.1099,"Electrical, Electronics, and Communications Engineering, Other",2024,257.0,2012,446.8,"11-9041, 17-2071, 17-2072",3,11.74,5.56,f,f
14.1101,Engineering Mechanics,2024,62.0,2012,-47.9,"17-2141, 11-9041, 17-2199",3,14.85,5.73,f,f
14.1201,Engineering Physics/Applied Physics,2024,186.0,2012,60.3,"11-9041, 17-2199, 11-9121",3,11.45,3.21,f,f
14.1301,Engineering Science,2024,362.0,2012,16.8,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.1401,Environmental/Environmental Health Engineering,2024,757.0,2012,2.4,"11-9041, 25-1032, 17-2081",3,11.27,4.53,f,f
14.1801,Materials Engineering,2024,1101.0,2012,44.5,"13-1051, 11-9041, 25-1032",3,14.52,0.59,f,f
14.1901,Mechanical Engineering,2024,7288.0,2012,24.3,"17-2141, 13-1051, 11-9041",3,16.68,3.50,f,f
14.2001,Metallurgical Engineering,2024,29.0,2012,-29.3,"11-9041, 25-1032, 17-2131",3,11.62,4.71,f,f
14.2101,Mining and Mineral Engineering,2024,85.0,2012,60.4,"11-9041, 25-1032, 17-2151",3,12.20,4.52,f,f
14.2201,Naval Architecture and Marine Engineering,2024,35.0,2012,-40.7,"11-9041, 25-1032, 17-2121",3,12.14,4.66,f,f
14.2301,Nuclear Engineering,2024,311.0,2012,-5.5,"11-9041, 25-1032, 17-2161",3,11.86,4.31,f,f
14.2401,Ocean Engineering,2024,69.0,2012,7.8,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.2501,Petroleum Engineering,2024,150.0,2012,-65.3,"11-9041, 25-1032, 17-2171",3,11.72,4.39,f,f
14.2701,Systems Engineering,2024,2163.0,2012,3.8,"17-2112, 11-9041, 17-2199",3,18.56,6.93,f,f
14.2801,Textile Sciences and Engineering,2024,49.0,2012,-15.5,"11-9041, 25-1032, 17-2131",3,11.62,4.71,f,f
14.3201,Polymer/Plastics Engineering,2024,79.0,2012,-6.0,"11-9041, 25-1032, 17-2131",3,11.62,4.71,f,f
14.3301,Construction Engineering,2024,632.0,2012,643.5,"17-2051, 13-1051, 11-9041",3,19.34,2.15,f,f
14.3401,Forest Engineering,2024,0.0,2012,-100.0,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,f
14.3501,Industrial Engineering,2024,2811.0,2012,35.4,"17-2112, 11-3051, 11-9041",3,19.94,6.37,f,f
14.3601,Manufacturing Engineering,2024,343.0,2012,4.3,"17-2112, 13-1051, 11-9041",3,19.96,4.76,f,f
14.3701,Operations Research,2024,1047.0,2012,55.3,"15-2031, 11-9121, 25-1032",3,8.13,12.01,t,f
14.3801,Surveying Engineering,2024,12.0,2012,100.0,"11-9041, 17-2199, 17-1022",3,11.18,3.25,f,f
